,optimal,"""optimal"""
412,"(2530.111768340215, 1)","(2530.111768340215, 1)"
413,"(2524.429950158398, 1)","(2524.429950158398, 1)"
414,"(2518.6828237216173, 1)","(2518.6828237216173, 1)"
415,"(2512.8688702332465, 1)","(2512.8688702332465, 1)"
416,"(2506.9865172920713, 1)","(2506.9865172920713, 1)"
417,"(2501.0341363396915, 1)","(2501.0341363396915, 1)"
418,"(2495.01003995415, 1)","(2495.01003995415, 1)"
419,"(2488.912478978542, 1)","(2488.912478978542, 1)"
420,"(2482.73963947237, 1)","(2482.73963947237, 1)"
421,"(2476.4896394723714, 1)","(2476.4896394723714, 1)"
422,"(2470.1605255483223, 1)","(2470.1605255483223, 1)"
423,"(2463.750269138067, 1)","(2463.750269138067, 1)"
424,"(2457.2567626445616, 1)","(2457.2567626445616, 1)"
425,"(2450.6778152761417, 1)","(2450.6778152761417, 1)"
426,"(2444.011148609476, 1)","(2444.011148609476, 1)"
427,"(2437.2543918527203, 1)","(2437.2543918527203, 1)"
428,"(2430.4050767842286, 1)","(2430.4050767842286, 1)"
429,"(2423.4606323397857, 1)","(2423.4606323397857, 1)"
430,"(2416.41837881866, 1)","(2416.41837881866, 1)"
431,"(2409.275521675804, 1)","(2409.275521675804, 1)"
432,"(2402.029144864211, 1)","(2402.029144864211, 1)"
433,"(2394.6762036877417, 1)","(2394.6762036877417, 1)"
434,"(2387.213517120579, 1)","(2387.213517120579, 1)"
435,"(2379.6377595448234, 1)","(2379.6377595448234, 1)"
436,"(2371.945451852517, 1)","(2371.945451852517, 1)"
437,"(2364.132951852519, 1)","(2364.132951852519, 1)"
438,"(2356.1964439160124, 1)","(2356.1964439160124, 1)"
439,"(2348.131927786982, 1)","(2348.131927786982, 1)"
440,"(2339.9352064755085, 1)","(2339.9352064755085, 1)"
441,"(2331.601873142177, 1)","(2331.601873142177, 1)"
442,"(2323.1272968709923, 1)","(2323.1272968709923, 1)"
443,"(2314.5066072158215, 1)","(2314.5066072158215, 1)"
444,"(2305.734677391262, 1)","(2305.734677391262, 1)"
445,"(2296.806105962692, 1)","(2296.806105962692, 1)"
446,"(2287.715196871785, 1)","(2287.715196871785, 1)"
447,"(2278.4559376125276, 1)","(2278.4559376125276, 1)"
448,"(2269.0219753483784, 1)","(2269.0219753483784, 1)"
