,dynamic-RLS-opt,T[dynamic-RLS-opt],dynamic-RLS-drift,T[dynamic-RLS-drift],dynamic-(1+1){>0}-p-opt,T[dynamic-(1+1){>0}-p-opt],dynamic-(1+1){>0}-p-drift,T[dynamic-(1+1){>0}-p-drift],dynamic-(1+1)-p-opt,T[dynamic-(1+1)-p-opt],dynamic-(1+1)-p-drift,T[dynamic-(1+1)-p-drift],dynamic-(1+1)-Baeck,T[dynamic-(1+1)-Baeck],static-RLS-1,T[static-RLS-1],static-(1+1)-1/n,T[static-(1+1)-1/n],old-1+1{>0},T[old-1+1{>0}]
198,500,2926.683213845855,500,2926.683213845855,1.0,2936.6548064528347,1.0,2938.089455770234,1.0,7138.630976056818,1.0,7138.647753136557,1.0,7143.222592700995,1,3144.64869885641,0.002,7643.749874080609,0.002,4834.585766042972
197,500,2924.711585522561,500,2924.711585522561,1.0,2934.5211887361306,1.0,2935.9554078068845,1.0,7136.497171027384,1.0,7136.513527399615,1.0,7140.9432708366,1,3146.298863872911,0.002,7645.967808767143,0.002,4835.988584769668
196,500,2922.7054212436724,500,2922.7054212436724,1.0,2932.342487014504,1.0,2933.7762919894967,1.0,7134.31819685123,1.0,7134.334143424135,1.0,7138.622478358191,1,3147.943600715016,0.002,7648.1745268295645,0.002,4837.3843091078525
195,500,2920.664889870667,500,2920.664889870667,1.0,2930.1185225152076,1.0,2931.5519298754116,1.0,7132.093844649088,1.0,7132.109408278466,1.0,7136.259958446017,1,3149.582944977311,0.002,7650.370115310228,0.002,4838.772994110838
194,500,2918.586123338694,500,2918.586123338694,1.0,2927.8491176701596,1.0,2929.282143887862,1.0,7129.823898849799,1.0,7129.839096326959,1.0,7133.855446151257,1,3151.216931905415,0.002,7652.5546603406365,0.002,4840.154694255833
193,500,2916.465898348854,500,2916.465898348854,1.0,2925.534097449684,1.0,2926.9667575166563,1.0,7127.508137119602,1.0,7127.522986222871,1.0,7131.408668421351,1,3152.845596400529,0.002,7654.728247153642,0.002,4841.52946345165
192,500,2914.3150530520084,500,2914.3150530520084,1.0,2923.1732908387894,1.0,2924.605598553485,1.0,7125.146330282581,1.0,7125.1608487898275,1.0,7128.919344111813,1,3154.4689730239056,0.002,7656.890960095396,0.002,4842.897355046284
191,500,2912.1329675432294,500,2912.1329675432294,1.0,2920.7665324221016,1.0,2922.1984978196783,1.0,7122.738242232329,1.0,7122.752438280758,1.0,7126.387183985444,1,3156.0870960012517,0.002,7659.042882637141,0.002,4844.258421834362
190,500,2909.91899088491,500,2909.91899088491,1.0,2918.3136642431195,1.0,2919.745302995003,1.0,7120.283629834828,1.0,7120.2975304300535,1.0,7123.811890699689,1,3157.6999992270576,0.002,7661.184097386798,0.002,4845.612716064452
189,500,2907.6724760901448,500,2907.6724760901448,1.0,2915.814537696314,1.0,2917.245851746326,1.0,7117.782242822519,1.0,7117.795850430766,1.0,7121.193158782776,1,3159.3077162688583,0.002,7663.314686100354,0.002,4846.96028944631
188,500,2905.3927489355247,500,2905.3927489355247,1.0,2913.26901577431,1.0,2914.7000184882845,1.0,7115.233823679577,1.0,7115.247151169391,1.0,7118.530674599247,1,3160.910280371422,0.002,7665.434729693102,0.002,4848.301193157932
187,500,2903.079024077304,500,2903.079024077304,1.0,2910.676975528345,1.0,2912.1076722930948,1.0,7112.638107518277,1.0,7112.651173592526,1.0,7115.824116305458,1,3162.5077244608783,0.002,7667.544308250637,0.002,4849.635477852569
