,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
Expected Time General,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.479788694332285,All
63,0,0,0,0,0,1,1,1,1,1,1,24.268732343580982,5
62,0,0,0,0,0,1,1,1,1,1,0,24.331833359827034,6
61,0,0,0,0,0,1,1,1,1,0,1,24.331833359827034,6
60,0,0,0,0,0,1,1,1,1,0,0,23.91666666666668,11
59,0,0,0,0,0,1,1,1,0,1,1,24.331621124273102,6
58,0,0,0,0,0,1,1,1,0,1,0,23.91666666666668,11
57,0,0,0,0,0,1,1,1,0,0,1,23.91666666666668,11
56,0,0,0,0,0,1,1,1,0,0,0,21.16666666666668,11
55,0,0,0,0,0,1,1,0,1,1,1,24.331259308579774,6
54,0,0,0,0,0,1,1,0,1,1,0,23.91666666666668,11
53,0,0,0,0,0,1,1,0,1,0,1,23.91666666666668,11
52,0,0,0,0,0,1,1,0,1,0,0,21.16666666666668,11
51,0,0,0,0,0,1,1,0,0,1,1,23.91666666666668,11
50,0,0,0,0,0,1,1,0,0,1,0,21.16666666666668,11
49,0,0,0,0,0,1,1,0,0,0,1,21.16666666666668,11
48,0,0,0,0,0,1,1,0,0,0,0,17.50000000000001,11
47,0,0,0,0,0,1,0,1,1,1,1,24.330377680571466,6
46,0,0,0,0,0,1,0,1,1,1,0,23.91666666666668,11
45,0,0,0,0,0,1,0,1,1,0,1,23.91666666666668,11
44,0,0,0,0,0,1,0,1,1,0,0,21.16666666666668,11
43,0,0,0,0,0,1,0,1,0,1,1,23.91666666666668,11
42,0,0,0,0,0,1,0,1,0,1,0,21.16666666666668,11
41,0,0,0,0,0,1,0,1,0,0,1,21.16666666666668,11
40,0,0,0,0,0,1,0,1,0,0,0,17.50000000000001,11
39,0,0,0,0,0,1,0,0,1,1,1,23.91666666666668,11
38,0,0,0,0,0,1,0,0,1,1,0,21.16666666666668,11
37,0,0,0,0,0,1,0,0,1,0,1,21.16666666666668,11
36,0,0,0,0,0,1,0,0,1,0,0,17.50000000000001,11
35,0,0,0,0,0,1,0,0,0,1,1,21.16666666666668,11
34,0,0,0,0,0,1,0,0,0,1,0,17.50000000000001,11
33,0,0,0,0,0,1,0,0,0,0,1,17.50000000000001,11
32,0,0,0,0,0,1,0,0,0,0,0,12.000000000000009,11
31,0,0,0,0,0,0,1,1,1,1,1,24.30177901119649,6
30,0,0,0,0,0,0,1,1,1,1,0,23.91666666666668,11
29,0,0,0,0,0,0,1,1,1,0,1,23.91666666666668,11
28,0,0,0,0,0,0,1,1,1,0,0,21.16666666666668,11
27,0,0,0,0,0,0,1,1,0,1,1,23.91666666666668,11
26,0,0,0,0,0,0,1,1,0,1,0,21.16666666666668,11
25,0,0,0,0,0,0,1,1,0,0,1,21.16666666666668,11
24,0,0,0,0,0,0,1,1,0,0,0,17.50000000000001,11
23,0,0,0,0,0,0,1,0,1,1,1,23.91666666666668,11
22,0,0,0,0,0,0,1,0,1,1,0,21.16666666666668,11
21,0,0,0,0,0,0,1,0,1,0,1,21.16666666666668,11
20,0,0,0,0,0,0,1,0,1,0,0,17.50000000000001,11
19,0,0,0,0,0,0,1,0,0,1,1,21.16666666666668,11
18,0,0,0,0,0,0,1,0,0,1,0,17.50000000000001,11
17,0,0,0,0,0,0,1,0,0,0,1,17.50000000000001,11
16,0,0,0,0,0,0,1,0,0,0,0,12.000000000000009,11
15,0,0,0,0,0,0,0,1,1,1,1,23.91666666666668,11
14,0,0,0,0,0,0,0,1,1,1,0,21.16666666666668,11
13,0,0,0,0,0,0,0,1,1,0,1,21.16666666666668,11
12,0,0,0,0,0,0,0,1,1,0,0,17.50000000000001,11
11,0,0,0,0,0,0,0,1,0,1,1,21.16666666666668,11
10,0,0,0,0,0,0,0,1,0,1,0,17.50000000000001,11
9,0,0,0,0,0,0,0,1,0,0,1,17.50000000000001,11
8,0,0,0,0,0,0,0,1,0,0,0,12.000000000000009,11
7,0,0,0,0,0,0,0,0,1,1,1,21.16666666666668,11
6,0,0,0,0,0,0,0,0,1,1,0,17.50000000000001,11
5,0,0,0,0,0,0,0,0,1,0,1,17.50000000000001,11
4,0,0,0,0,0,0,0,0,1,0,0,12.000000000000009,11
3,0,0,0,0,0,0,0,0,0,1,1,17.50000000000001,11
2,0,0,0,0,0,0,0,0,0,1,0,12.000000000000009,11
1,0,0,0,0,0,0,0,0,0,0,1,12.000000000000009,11
0,0,0,0,0,0,0,0,0,0,0,0,1.0,11
