,Binary Representation,Expected Time,k-opt
Expected Time General,NaN,18.216064453124993,All
4026,#111110111010,21.999999999999975,1
4025,#111110111001,21.999999999999975,1
4024,#111110111000,24.999999999999975,1
4023,#111110110111,17.99999999999998,1
4022,#111110110110,21.999999999999975,1
4021,#111110110101,21.999999999999975,1
4020,#111110110100,24.999999999999975,1
4019,#111110110011,21.999999999999975,1
4018,#111110110010,24.999999999999975,1
4017,#111110110001,24.999999999999975,1
4016,#111110110000,27.399999999999974,1
4015,#111110101111,17.99999999999998,1
4014,#111110101110,21.999999999999975,1
4013,#111110101101,21.999999999999975,1
4012,#111110101100,24.999999999999975,1
4011,#111110101011,21.999999999999975,1
4010,#111110101010,24.999999999999975,1
4009,#111110101001,24.999999999999975,1
4008,#111110101000,27.399999999999974,1
4007,#111110100111,21.999999999999975,1
4006,#111110100110,24.999999999999975,1
4005,#111110100101,24.999999999999975,1
4004,#111110100100,27.399999999999974,1
4003,#111110100011,24.999999999999975,1
